function,line,category,public_like,trailing_underscore,menu_callback,trigger_callback,static_call_count,string_reference_count,recommendation
h_,223,internal_helper,FALSE,TRUE,FALSE,FALSE,320,0,Keep private-style name; no action unless consolidation is approved.
getDefaultColumnDefinitionRows_,230,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getAllUniqueHeaders_,344,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getColumnStandards_,363,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
c_,463,internal_helper,FALSE,TRUE,FALSE,FALSE,95,0,Keep private-style name; no action unless consolidation is approved.
writeDashboardTitle_,477,internal_helper,FALSE,TRUE,FALSE,FALSE,0,1,Keep private-style name; no action unless consolidation is approved.
writeDashboardSection_,491,internal_helper,FALSE,TRUE,FALSE,FALSE,0,1,Keep private-style name; no action unless consolidation is approved.
styleDashboard_,526,internal_helper,FALSE,TRUE,FALSE,FALSE,1,1,Keep private-style name; no action unless consolidation is approved.
setupReportFormattingDashboard,558,public_like_review_required,TRUE,FALSE,FALSE,FALSE,0,2,Do not make private until external/manual consumers are checked; add wrapper before rename.
appendDashboardSectionRows_,562,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
getResolvedDefaultColumnDefinitionRows_,571,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeDashboardDefaultsFast_,605,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
rebuildFormatDashboardDefaults,680,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,2,3,Keep public; menu callback strings require stable top-level function name.
setupReportFormattingDashboardFromScriptDefaults_,684,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
normalizeDashboardSheetTypeKey_,699,internal_helper,FALSE,TRUE,FALSE,FALSE,20,0,Keep private-style name; no action unless consolidation is approved.
