function,line,phase1_category,public_api_boundary_status,no_static_path_status,undefined_dead_path_status,compatibility_status,approved_action,phase2_batch,consumer_checks_required,testing_required,notes
h_,223,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getDefaultColumnDefinitionRows_,230,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getAllUniqueHeaders_,344,internal_no_static_path_review,INTERNAL_REVIEW_POOL,NO_STATIC_PATH,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_CONFIRMED_INTERNAL,CANDIDATE_FOR_AGGRESSIVE_REMOVAL_REVIEW,AGGRESSIVE_INTERNAL_CANDIDATE,direct callers; string references; menu callbacks; triggers; HTML/google.script.run; external/library consumers; Dashboard Quality/Health checks,syntax; menu callback scan; Dashboard Quality; full workflow staging pass,Candidate for large cleanup batch only after dynamic/external checks.
getColumnStandards_,363,internal_no_static_path_review,INTERNAL_REVIEW_POOL,NO_STATIC_PATH,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_CONFIRMED_INTERNAL,CANDIDATE_FOR_AGGRESSIVE_REMOVAL_REVIEW,AGGRESSIVE_INTERNAL_CANDIDATE,direct callers; string references; menu callbacks; triggers; HTML/google.script.run; external/library consumers; Dashboard Quality/Health checks,syntax; menu callback scan; Dashboard Quality; full workflow staging pass,Candidate for large cleanup batch only after dynamic/external checks.
c_,463,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
writeDashboardTitle_,477,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
writeDashboardSection_,491,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
styleDashboard_,526,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
setupReportFormattingDashboard,558,public_like_review_required,PUBLIC_LOOKING_DECISION_REQUIRED,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,WRAPPER_REQUIRED_IF_RENAMED,USER_DECISION_REQUIRED,PUBLIC_API_REVIEW,direct callers; string references; menu callbacks; triggers; HTML/google.script.run; external/library consumers; Dashboard Quality/Health checks,staging smoke if changed,Treat as public-looking until external/manual consumers are checked.
appendDashboardSectionRows_,562,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
