Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
h_,"header, source",235,241,getDefaultDemoPMetadataHeaderRows_v155_; getDefaultHeaderSets_,,,,Private/helper,Reachable,Low
getDefaultColumnDefinitionRows_,,242,355,getResolvedDefaultColumnDefinitionRows_,,,,Private/helper,Reachable,Low
getAllUniqueHeaders_,,356,374,,getDefaultHeaderSets_; normalizeHeader_,,,Private/helper,No static path,Low
getColumnStandards_,,375,474,,c_,,,Private/helper,No static path,Low
c_,"width, fontSize, dateColumn, hideColumn",475,487,getColumnStandards_,,,,Private/helper,No static path,Low
writeDashboardTitle_,"sheet, row",488,502,,,,setValues,Private/helper,String referenced,High
writeDashboardSection_,"sheet, startRow, sectionName, headers, rows",503,537,,,SpreadsheetApp,setValue; setValues,Private/helper,String referenced,High
styleDashboard_,sheet,538,569,saveFormatDashboardConfigChanges_,logBestEffortWarning_,,,Private/helper,Reachable,Low
setupReportFormattingDashboard,,570,573,,setupReportFormattingDashboardFromScriptDefaults_,,,Public,Reachable,Low
appendDashboardSectionRows_,"rows, sectionName, headers, dataRows, width",574,582,writeDashboardDefaultsFast_,normalizeSectionRowForWidth_,,,Private/helper,Reachable,Low
getResolvedDefaultColumnDefinitionRows_,,583,616,writeDashboardDefaultsFast_,getDefaultColumnDefinitionRows_,,,Private/helper,Reachable,Low
writeDashboardDefaultsFast_,sheet,617,691,setupReportFormattingDashboardFromScriptDefaults_,appendDashboardSectionRows_; getDefaultBehaviorRows_; getDefaultGlobalSettingsRows_; getDefaultSheetDefinitionRowsWithColumnCounts_; getDefaultSheetHeaderRows_; getDefaultSystemSurfaceRows_; getDefaultTitleRowRows_; getResolvedDefaultColumnDefinitionRows_; logBestEffortWarning_; normalizeSectionRowForWidth_; rowColToA1_; trimSheetToColumnCount_,SpreadsheetApp,clearContent; setValues,Private/helper,Reachable,High
rebuildFormatDashboardDefaults,,692,695,formatDashboard; quickSystemSetup,setupReportFormattingDashboardFromScriptDefaults_,,,Public,Reachable,Low
setupReportFormattingDashboardFromScriptDefaults_,,696,709,rebuildFormatDashboardDefaults; setupReportFormattingDashboard,clearDashboardConfigCache_; markFrameworkStep_; runFrameworkTimed_; showSheetIfNeeded_; writeDashboardDefaultsFast_,SpreadsheetApp,insertSheet,Private/helper,Reachable,High
normalizeDashboardSheetTypeKey_,sheetType,710,728,applyOutputVisibilityPolicy_; applyStandardFormatting_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; getBehaviorForSheetType_; getDefaultSheetDefinitionRowsWithColumnCounts_; getHeadersForSheetType_; getSheetDefinitionByTypeOrNull_; getTitleRowConfigForSheet_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTitleRows_; resolveSheetDefinitionForLayoutSnapshot_; upsertDashboardSheetDefinitionBaseColor_; writeDashboardLayoutSnapshotSection_,normalizeHeader_; normalizeKey_,,,Private/helper,Reachable,Low
