Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
getRuntimeCache_,14,27,Configuration; Internal/private; Utility,Resolve or return runtime cache,Timing/runtime instrumentation,None detected,clearDashboardConfigCache_; clearHeaderCacheForSheet_; clearMonthlySheetLookupCache_; clearSheetDimensionCacheForSheet_; getHeaderMap_; getHeaders_; getMonthlySheetByPrefixAndDate_; getSheetDimensions_; loadDashboardConfig_,ML_RUNTIME_CACHE_STORE_,None detected,None detected,ML_RUNTIME_CACHE_STORE_,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 14, branches 1)"
clearAllRuntimeCaches_,29,31,Configuration; Internal/private,Implement clear all runtime caches,Timing/runtime instrumentation,None detected,runWithWorkflowBusyFlag_,ML_RUNTIME_CACHE_STORE_,None detected,None detected,ML_RUNTIME_CACHE_STORE_,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
getArchiveSpreadsheetId_,70,74,Internal/private; Utility,Resolve or return archive spreadsheet id,Index/archive lifecycle,None detected,archiveMonthlySheetsBySpecs_; archiveRawDataSheet_; configureArchiveSpreadsheetId; createIndexSheet; restoreSheetFromArchiveWorkbook,None detected,PropertiesService,RFF_ARCHIVE_SPREADSHEET_ID; RFF_ARCHIVE_SPREADSHEET_ID,None detected,None detected,getProperty(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 0)"
configureArchiveSpreadsheetId,76,93,Menu function; Public entry point; Workflow function; Configuration,Implement configure archive spreadsheet id,Index/archive lifecycle,getArchiveSpreadsheetId_; notify_,No static caller detected,getArchiveSpreadsheetId_; notify_,SpreadsheetApp; PropertiesService,Configure Archive Spreadsheet; Enter the Google Sheets ID for the Archive workbook.\n\nCurrent ID: ; RFF_ARCHIVE_SPREADSHEET_ID,None detected,None detected,None detected,setProperty(),None detected,None detected,None explicit,notify_,"Low (LOC 18, branches 4)"
h_,261,266,Internal/private,Implement h,Shared framework utilities,None detected,getDefaultHeaderSets_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 0)"
getDefaultColumnDefinitionRows_,268,369,Configuration; Internal/private; Utility,Resolve or return default column definition rows,Shared framework utilities,None detected,getResolvedDefaultColumnDefinitionRows_; getScriptFunctionForDashboardSection_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Medium (LOC 102, branches 0)"
c_,370,381,Internal/private,Implement c,Shared framework utilities,None detected,No static caller detected,RFF_DEFAULTS,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 12, branches 1)"
writeDashboardTitle_,384,396,Dashboard; Internal/private,Implement write dashboard title,Format Dashboard governance,None detected,No static caller detected,None detected,None detected,Format Dashboard,None detected,Format Dashboard,getRange(),setBackground(); setFontSize(); setFontWeight(); setRowHeight(); setValues(); setVerticalAlignment(),None detected,None detected,None explicit,None detected,"Low (LOC 13, branches 0)"
writeDashboardSection_,398,431,Dashboard; Internal/private,Implement write dashboard section,Format Dashboard governance,None detected,No static caller detected,None detected,SpreadsheetApp,None detected,None detected,None detected,getRange(),setBackground(); setFontSize(); setFontWeight(); setValue(); setValues(); setVerticalAlignment(); setWrapStrategy(),None detected,None detected,None explicit,None detected,"Low (LOC 34, branches 1)"
styleDashboard_,433,463,Formatter; Dashboard; Internal/private,Implement style dashboard,Format Dashboard governance,logBestEffortWarning_,saveFormatDashboardConfigChanges_,logBestEffortWarning_,None detected,Dashboard column width skipped: ; Dashboard filter remove skipped: ,None detected,Dashboard column width skipped: ; Dashboard filter remove skipped: ,getFilter(); getLastColumn(); getLastRow(); getRange(),setColumnWidth(); setFontColor(); setFrozenRows(); setHorizontalAlignment(),remove(),None detected,try/catch,logBestEffortWarning_,"Low (LOC 31, branches 3)"
setupReportFormattingDashboard,465,467,Public entry point; Formatter; Dashboard,Set up report formatting dashboard,Format Dashboard governance,setupReportFormattingDashboardFromScriptDefaults_,No static caller detected,setupReportFormattingDashboardFromScriptDefaults_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
appendDashboardSectionRows_,469,476,Dashboard; Internal/private,Implement append dashboard section rows,Format Dashboard governance,normalizeSectionRowForWidth_,writeDashboardDefaultsFast_,normalizeSectionRowForWidth_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 8, branches 0)"
getResolvedDefaultColumnDefinitionRows_,478,510,Configuration; Internal/private; Utility,Resolve or return resolved default column definition rows,Shared framework utilities,getDefaultColumnDefinitionRows_,writeDashboardDefaultsFast_,RFF_DEFAULTS; getDefaultColumnDefinitionRows_,None detected,None detected,RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 33, branches 8)"
getFormatDashboardExpectedSectionHeaders_,512,524,Formatter; Dashboard; Internal/private; Utility,Resolve or return format dashboard expected section headers,Format Dashboard governance,normalizeSectionRowForWidth_,repairFormatDashboardSectionHeaders_; writeDashboardDefaultsFast_,RFF_SECTION_BEHAVIORS; RFF_SECTION_COLUMNS; RFF_SECTION_GLOBAL; RFF_SECTION_HEADERS; RFF_SECTION_SHEETS; RFF_SECTION_SYSTEM_SURFACES; RFF_SECTION_TAB_ORGANIZATION; RFF_SECTION_TITLE_ROWS; normalizeSectionRowForWidth_,None detected,Hidden Template; Sheet Name / Prefix; Sheet Type; System Sheet Name; Template Column Count; Template Name; Template Row Count; Template Row Mode; RFF_SECTION_SHEETS,RFF_SECTION_BEHAVIORS; RFF_SECTION_COLUMNS; RFF_SECTION_GLOBAL; RFF_SECTION_HEADERS; RFF_SECTION_SHEETS; RFF_SECTION_SYSTEM_SURFACES; RFF_SECTION_TAB_ORGANIZATION; RFF_SECTION_TITLE_ROWS,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 13, branches 0)"
repairFormatDashboardSectionHeaders_,526,551,Formatter; Dashboard; Internal/private,Implement repair format dashboard section headers,Format Dashboard governance,getDashboardSectionBounds_; getFormatDashboardExpectedSectionHeaders_; markFrameworkStep_,runDashboardQualityDashboardVerificationSections_,getDashboardSectionBounds_; getFormatDashboardExpectedSectionHeaders_; markFrameworkStep_,None detected,Format Dashboard section headers repaired: ,None detected,Format Dashboard section headers repaired: ,getRange(); getValues(),setValues(),None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 26, branches 6)"
